leftcat,rightcat,timing_seconds,notes,id,row_stamp
9,10,3.506,Initial Tests,1,2018-01-08 19:06:21.15191
10,9,3.544,Initial Tests,2,2018-01-08 19:06:21.15191
13,14,135.376,Initial Tests,3,2018-01-08 19:06:21.15191
14,15,752.276,Initial Tests,4,2018-01-08 19:06:21.15191
12,13,23.965,Initial Tests,5,2018-01-08 19:06:21.15191
12,13,23.859,Initial Tests,6,2018-01-08 19:06:21.15191
12,10,0.507,Vacuumed,7,2018-01-08 19:06:21.15191
9,10,2.377,Vacuumed,8,2018-01-08 19:06:21.15191
12,13,23.799,Vacuumed,9,2018-01-08 19:06:21.15191
9,10,2.375,Vacuumed,10,2018-01-08 19:06:21.15191
12,10,0.510,GIS Index,11,2018-01-08 19:06:21.15191
9,10,2.323,GIS Index,12,2018-01-08 19:06:21.15191
10,9,2.362,GIS Index,13,2018-01-08 19:06:21.15191
12,13,23.700,GIS Index,14,2018-01-08 19:06:21.15191
13,14,118.056,GIS Index,15,2018-01-08 19:06:21.15191
10,10,0.064,Full cycle default gis index,26,2018-01-08 19:06:21.15191
10,11,0.241,Full cycle default gis index,27,2018-01-08 19:06:21.15191
10,12,0.498,Full cycle default gis index,28,2018-01-08 19:06:21.15191
11,10,0.238,Full cycle default gis index,29,2018-01-08 19:06:21.15191
11,11,1.957,Full cycle default gis index,30,2018-01-08 19:06:21.15191
11,12,4.341,Full cycle default gis index,31,2018-01-08 19:06:21.15191
12,10,0.493,Full cycle default gis index,32,2018-01-08 19:06:21.15191
12,11,4.285,Full cycle default gis index,33,2018-01-08 19:06:21.15191
12,12,9.520,Full cycle default gis index,34,2018-01-08 19:06:21.15191
0,0,239.476,Full cycle default gis index,35,2018-01-08 19:06:21.15191
0,1,234.864,Full cycle default gis index,36,2018-01-08 19:06:21.15191
0,2,234.038,Full cycle default gis index,37,2018-01-08 19:06:21.15191
0,3,232.799,Full cycle default gis index,38,2018-01-08 19:06:21.15191
0,4,232.504,Full cycle default gis index,39,2018-01-08 19:06:21.15191
0,5,261.645,Full cycle default gis index,40,2018-01-08 19:06:21.15191
0,6,243.772,Full cycle default gis index,41,2018-01-08 19:06:21.15191
0,7,234.072,Full cycle default gis index,42,2018-01-08 19:06:21.15191
0,8,232.153,Full cycle default gis index,43,2018-01-08 19:06:21.15191
0,9,231.915,Full cycle default gis index,44,2018-01-08 19:06:21.15191
0,10,2.322,Full cycle default gis index,45,2018-01-08 19:06:21.15191
0,11,21.039,Full cycle default gis index,46,2018-01-08 19:06:21.15191
0,12,46.501,Full cycle default gis index,47,2018-01-08 19:06:21.15191
0,13,116.374,Full cycle default gis index,48,2018-01-08 19:06:21.15191
0,14,233.383,Full cycle default gis index,49,2018-01-08 19:06:21.15191
0,15,756.450,Full cycle default gis index,50,2018-01-08 19:06:21.15191
1,0,238.582,Full cycle default gis index,51,2018-01-08 19:06:21.15191
1,1,232.595,Full cycle default gis index,52,2018-01-08 19:06:21.15191
1,2,233.048,Full cycle default gis index,53,2018-01-08 19:06:21.15191
1,3,235.897,Full cycle default gis index,54,2018-01-08 19:06:21.15191
1,4,233.654,Full cycle default gis index,55,2018-01-08 19:06:21.15191
1,5,235.720,Full cycle default gis index,56,2018-01-08 19:06:21.15191
1,6,235.638,Full cycle default gis index,57,2018-01-08 19:06:21.15191
1,7,237.044,Full cycle default gis index,58,2018-01-08 19:06:21.15191
1,8,236.279,Full cycle default gis index,59,2018-01-08 19:06:21.15191
1,9,232.621,Full cycle default gis index,60,2018-01-08 19:06:21.15191
1,10,2.336,Full cycle default gis index,61,2018-01-08 19:06:21.15191
1,11,21.042,Full cycle default gis index,62,2018-01-08 19:06:21.15191
1,12,46.511,Full cycle default gis index,63,2018-01-08 19:06:21.15191
1,13,116.721,Full cycle default gis index,64,2018-01-08 19:06:21.15191
1,14,236.884,Full cycle default gis index,65,2018-01-08 19:06:21.15191
1,15,756.669,Full cycle default gis index,66,2018-01-08 19:06:21.15191
2,0,238.379,Full cycle default gis index,67,2018-01-08 19:06:21.15191
2,1,238.349,Full cycle default gis index,68,2018-01-08 19:06:21.15191
2,2,234.595,Full cycle default gis index,69,2018-01-08 19:06:21.15191
2,3,236.108,Full cycle default gis index,70,2018-01-08 19:06:21.15191
2,4,233.414,Full cycle default gis index,71,2018-01-08 19:06:21.15191
2,5,235.970,Full cycle default gis index,72,2018-01-08 19:06:21.15191
2,6,235.842,Full cycle default gis index,73,2018-01-08 19:06:21.15191
2,7,237.429,Full cycle default gis index,74,2018-01-08 19:06:21.15191
2,8,236.523,Full cycle default gis index,75,2018-01-08 19:06:21.15191
2,9,233.164,Full cycle default gis index,76,2018-01-08 19:06:21.15191
2,10,2.320,Full cycle default gis index,77,2018-01-08 19:06:21.15191
2,11,21.145,Full cycle default gis index,78,2018-01-08 19:06:21.15191
2,12,46.760,Full cycle default gis index,79,2018-01-08 19:06:21.15191
2,13,116.920,Full cycle default gis index,80,2018-01-08 19:06:21.15191
2,14,236.710,Full cycle default gis index,81,2018-01-08 19:06:21.15191
2,15,760.628,Full cycle default gis index,82,2018-01-08 19:06:21.15191
3,0,236.464,Full cycle default gis index,83,2018-01-08 19:06:21.15191
3,1,232.081,Full cycle default gis index,84,2018-01-08 19:06:21.15191
3,2,232.519,Full cycle default gis index,85,2018-01-08 19:06:21.15191
3,3,231.171,Full cycle default gis index,86,2018-01-08 19:06:21.15191
3,4,231.343,Full cycle default gis index,87,2018-01-08 19:06:21.15191
3,5,232.401,Full cycle default gis index,88,2018-01-08 19:06:21.15191
3,6,235.447,Full cycle default gis index,89,2018-01-08 19:06:21.15191
3,7,235.138,Full cycle default gis index,90,2018-01-08 19:06:21.15191
3,8,231.405,Full cycle default gis index,91,2018-01-08 19:06:21.15191
3,9,232.727,Full cycle default gis index,92,2018-01-08 19:06:21.15191
3,10,2.345,Full cycle default gis index,93,2018-01-08 19:06:21.15191
3,11,21.034,Full cycle default gis index,94,2018-01-08 19:06:21.15191
3,12,46.451,Full cycle default gis index,95,2018-01-08 19:06:21.15191
3,13,116.320,Full cycle default gis index,96,2018-01-08 19:06:21.15191
3,14,231.205,Full cycle default gis index,97,2018-01-08 19:06:21.15191
3,15,755.074,Full cycle default gis index,98,2018-01-08 19:06:21.15191
4,0,235.679,Full cycle default gis index,99,2018-01-08 19:06:21.15191
4,1,235.723,Full cycle default gis index,100,2018-01-08 19:06:21.15191
4,2,235.639,Full cycle default gis index,101,2018-01-08 19:06:21.15191
4,3,235.605,Full cycle default gis index,102,2018-01-08 19:06:21.15191
4,4,231.393,Full cycle default gis index,103,2018-01-08 19:06:21.15191
4,5,234.941,Full cycle default gis index,104,2018-01-08 19:06:21.15191
4,6,235.594,Full cycle default gis index,105,2018-01-08 19:06:21.15191
4,7,236.509,Full cycle default gis index,106,2018-01-08 19:06:21.15191
4,8,235.646,Full cycle default gis index,107,2018-01-08 19:06:21.15191
4,9,235.096,Full cycle default gis index,108,2018-01-08 19:06:21.15191
4,10,2.331,Full cycle default gis index,109,2018-01-08 19:06:21.15191
4,11,20.975,Full cycle default gis index,110,2018-01-08 19:06:21.15191
4,12,46.434,Full cycle default gis index,111,2018-01-08 19:06:21.15191
4,13,116.078,Full cycle default gis index,112,2018-01-08 19:06:21.15191
4,14,235.861,Full cycle default gis index,113,2018-01-08 19:06:21.15191
4,15,754.651,Full cycle default gis index,114,2018-01-08 19:06:21.15191
5,0,236.664,Full cycle default gis index,115,2018-01-08 19:06:21.15191
5,1,233.142,Full cycle default gis index,116,2018-01-08 19:06:21.15191
5,2,233.165,Full cycle default gis index,117,2018-01-08 19:06:21.15191
5,3,236.792,Full cycle default gis index,118,2018-01-08 19:06:21.15191
5,4,232.639,Full cycle default gis index,119,2018-01-08 19:06:21.15191
5,5,232.195,Full cycle default gis index,120,2018-01-08 19:06:21.15191
5,6,236.113,Full cycle default gis index,121,2018-01-08 19:06:21.15191
5,7,236.526,Full cycle default gis index,122,2018-01-08 19:06:21.15191
5,8,232.680,Full cycle default gis index,123,2018-01-08 19:06:21.15191
5,9,232.101,Full cycle default gis index,124,2018-01-08 19:06:21.15191
5,10,2.326,Full cycle default gis index,125,2018-01-08 19:06:21.15191
5,11,20.917,Full cycle default gis index,126,2018-01-08 19:06:21.15191
5,12,46.446,Full cycle default gis index,127,2018-01-08 19:06:21.15191
5,13,116.618,Full cycle default gis index,128,2018-01-08 19:06:21.15191
5,14,232.607,Full cycle default gis index,129,2018-01-08 19:06:21.15191
5,15,754.302,Full cycle default gis index,130,2018-01-08 19:06:21.15191
6,0,231.656,Full cycle default gis index,131,2018-01-08 19:06:21.15191
6,1,231.494,Full cycle default gis index,132,2018-01-08 19:06:21.15191
6,2,231.784,Full cycle default gis index,133,2018-01-08 19:06:21.15191
6,3,231.331,Full cycle default gis index,134,2018-01-08 19:06:21.15191
6,4,230.815,Full cycle default gis index,135,2018-01-08 19:06:21.15191
6,5,230.984,Full cycle default gis index,136,2018-01-08 19:06:21.15191
6,6,231.579,Full cycle default gis index,137,2018-01-08 19:06:21.15191
6,7,232.578,Full cycle default gis index,138,2018-01-08 19:06:21.15191
