leftcat,rightcat,timing_ms,id,notes,row_stamp,leftcount,rightcount
9,10,3.598,1,Initial Tests,2021-01-29 00:48:49.367536,10000,100
9,10,3.523,2,Initial Tests,2021-01-29 00:50:35.192974,10000,100
9,10,3.536,3,Initial Tests,2021-01-29 00:56:50.890179,10000,100
9,10,3.531,4,Initial Tests,2021-01-29 00:59:13.115881,10000,100
9,10,3.599,5,Initial Tests,2021-01-29 01:00:43.415827,10000,100
9,10,3.525,6,Initial Tests,2021-01-29 01:01:55.935466,10000,100
9,10,3.590,7,Initial Tests,2021-01-29 01:03:12.093422,10000,100
9,10,3.556,8,Initial Tests,2021-01-29 01:03:45.1061,10000,100
9,10,3.856,9,Initial Tests,2021-01-29 01:07:35.37741,10000,100
10,10,0.328,10,run_timings,2021-01-29 01:07:40.643635,100,100
10,11,0.604,11,run_timings,2021-01-29 01:07:40.643635,100,900
10,12,0.980,12,run_timings,2021-01-29 01:07:40.643635,100,2000
10,13,2.076,13,run_timings,2021-01-29 01:07:40.643635,100,5000
11,10,0.605,14,run_timings,2021-01-29 01:07:40.643635,900,100
11,11,3.277,15,run_timings,2021-01-29 01:07:40.643635,900,900
11,12,7.091,16,run_timings,2021-01-29 01:07:40.643635,900,2000
11,13,17.786,17,run_timings,2021-01-29 01:07:40.643635,900,5000
12,10,0.980,18,run_timings,2021-01-29 01:07:40.643635,2000,100
12,11,7.068,19,run_timings,2021-01-29 01:07:40.643635,2000,900
12,12,15.908,20,run_timings,2021-01-29 01:07:40.643635,2000,2000
12,13,41.993,21,run_timings,2021-01-29 01:07:40.643635,2000,5000
13,10,2.096,22,run_timings,2021-01-29 01:07:40.643635,5000,100
13,11,17.884,23,run_timings,2021-01-29 01:07:40.643635,5000,900
13,12,40.627,24,run_timings,2021-01-29 01:07:40.643635,5000,2000
13,13,104.511,25,run_timings,2021-01-29 01:07:40.643635,5000,5000
9,10,3.978,26,Initial Tests,2021-01-29 01:23:06.748818,10000,100
10,10,0.307,27,min_stdist_timings,2021-01-29 01:23:12.195731,100,100
10,11,0.597,28,min_stdist_timings,2021-01-29 01:23:12.195731,100,900
10,12,0.963,29,min_stdist_timings,2021-01-29 01:23:12.195731,100,2000
10,13,2.048,30,min_stdist_timings,2021-01-29 01:23:12.195731,100,5000
11,10,0.592,31,min_stdist_timings,2021-01-29 01:23:12.195731,900,100
11,11,3.279,32,min_stdist_timings,2021-01-29 01:23:12.195731,900,900
11,12,7.043,33,min_stdist_timings,2021-01-29 01:23:12.195731,900,2000
11,13,17.877,34,min_stdist_timings,2021-01-29 01:23:12.195731,900,5000
12,10,0.992,35,min_stdist_timings,2021-01-29 01:23:12.195731,2000,100
12,11,7.090,36,min_stdist_timings,2021-01-29 01:23:12.195731,2000,900
12,12,15.857,37,min_stdist_timings,2021-01-29 01:23:12.195731,2000,2000
12,13,41.832,38,min_stdist_timings,2021-01-29 01:23:12.195731,2000,5000
13,10,2.088,39,min_stdist_timings,2021-01-29 01:23:12.195731,5000,100
13,11,17.847,40,min_stdist_timings,2021-01-29 01:23:12.195731,5000,900
13,12,40.425,41,min_stdist_timings,2021-01-29 01:23:12.195731,5000,2000
13,13,104.588,42,min_stdist_timings,2021-01-29 01:23:12.195731,5000,5000
10,10,0.051,43,approx_trilat_timings,2021-01-29 01:32:10.491626,100,100
10,11,0.127,44,approx_trilat_timings,2021-01-29 01:32:10.491626,100,900
10,12,0.239,45,approx_trilat_timings,2021-01-29 01:32:10.491626,100,2000
10,13,0.534,46,approx_trilat_timings,2021-01-29 01:32:10.491626,100,5000
11,10,0.129,47,approx_trilat_timings,2021-01-29 01:32:10.491626,900,100
11,11,0.803,48,approx_trilat_timings,2021-01-29 01:32:10.491626,900,900
11,12,1.400,49,approx_trilat_timings,2021-01-29 01:32:10.491626,900,2000
11,13,3.197,50,approx_trilat_timings,2021-01-29 01:32:10.491626,900,5000
12,10,0.230,51,approx_trilat_timings,2021-01-29 01:32:10.491626,2000,100
12,11,1.258,52,approx_trilat_timings,2021-01-29 01:32:10.491626,2000,900
12,12,2.717,53,approx_trilat_timings,2021-01-29 01:32:10.491626,2000,2000
12,13,7.299,54,approx_trilat_timings,2021-01-29 01:32:10.491626,2000,5000
13,10,0.522,55,approx_trilat_timings,2021-01-29 01:32:10.491626,5000,100
13,11,3.082,56,approx_trilat_timings,2021-01-29 01:32:10.491626,5000,900
13,12,6.770,57,approx_trilat_timings,2021-01-29 01:32:10.491626,5000,2000
13,13,11.186,58,approx_trilat_timings,2021-01-29 01:32:10.491626,5000,5000
9,10,3.561,59,Initial Tests,2021-01-29 02:07:13.685688,10000,100
10,10,0.262,60,min_stdist_timings,2021-01-29 02:07:18.528195,100,100
10,11,0.517,61,min_stdist_timings,2021-01-29 02:07:18.528195,100,900
10,12,0.870,62,min_stdist_timings,2021-01-29 02:07:18.528195,100,2000
10,13,1.850,63,min_stdist_timings,2021-01-29 02:07:18.528195,100,5000
11,10,0.516,64,min_stdist_timings,2021-01-29 02:07:18.528195,900,100
11,11,2.906,65,min_stdist_timings,2021-01-29 02:07:18.528195,900,900
11,12,6.348,66,min_stdist_timings,2021-01-29 02:07:18.528195,900,2000
11,13,16.030,67,min_stdist_timings,2021-01-29 02:07:18.528195,900,5000
12,10,0.867,68,min_stdist_timings,2021-01-29 02:07:18.528195,2000,100
12,11,6.336,69,min_stdist_timings,2021-01-29 02:07:18.528195,2000,900
